bus_id,vehicle_id,trip_id,route_id,partenza_sec,arrivo_sec,partenza,arrivo,durata_min
1,BUS1,LINEA_01_A_21600,LINEA_01,21600,22967,06:00:00,06:22:47,22
1,BUS1,LINEA_01_R_23400,LINEA_01_R,23400,24767,06:30:00,06:52:47,22
1,BUS1,LINEA_01_A_25200,LINEA_01,25200,26567,07:00:00,07:22:47,22
1,BUS1,LINEA_01_R_27000,LINEA_01_R,27000,28367,07:30:00,07:52:47,22
1,BUS1,LINEA_01_A_28800,LINEA_01,28800,30167,08:00:00,08:22:47,22
1,BUS1,LINEA_01_R_30600,LINEA_01_R,30600,31967,08:30:00,08:52:47,22
1,BUS1,LINEA_01_A_32400,LINEA_01,32400,33767,09:00:00,09:22:47,22
1,BUS1,LINEA_01_R_34200,LINEA_01_R,34200,35567,09:30:00,09:52:47,22
1,BUS1,LINEA_01_A_36000,LINEA_01,36000,37367,10:00:00,10:22:47,22
1,BUS1,LINEA_01_R_37800,LINEA_01_R,37800,39167,10:30:00,10:52:47,22
1,BUS1,LINEA_01_A_39600,LINEA_01,39600,40967,11:00:00,11:22:47,22
1,BUS1,LINEA_01_R_41400,LINEA_01_R,41400,42767,11:30:00,11:52:47,22
1,BUS1,LINEA_01_A_43200,LINEA_01,43200,44567,12:00:00,12:22:47,22
1,BUS1,LINEA_01_R_45000,LINEA_01_R,45000,46367,12:30:00,12:52:47,22
1,BUS1,LINEA_01_A_46800,LINEA_01,46800,48167,13:00:00,13:22:47,22
1,BUS1,LINEA_01_R_48600,LINEA_01_R,48600,49967,13:30:00,13:52:47,22
1,BUS1,LINEA_01_A_50400,LINEA_01,50400,51767,14:00:00,14:22:47,22
1,BUS1,LINEA_01_R_52200,LINEA_01_R,52200,53567,14:30:00,14:52:47,22
1,BUS1,LINEA_01_A_54000,LINEA_01,54000,55367,15:00:00,15:22:47,22
1,BUS1,LINEA_01_R_55800,LINEA_01_R,55800,57167,15:30:00,15:52:47,22
1,BUS1,LINEA_01_A_57600,LINEA_01,57600,58967,16:00:00,16:22:47,22
1,BUS1,LINEA_01_R_59400,LINEA_01_R,59400,60767,16:30:00,16:52:47,22
1,BUS1,LINEA_01_A_61200,LINEA_01,61200,62567,17:00:00,17:22:47,22
1,BUS1,LINEA_01_R_63000,LINEA_01_R,63000,64367,17:30:00,17:52:47,22
1,BUS1,LINEA_01_A_64800,LINEA_01,64800,66167,18:00:00,18:22:47,22
1,BUS1,LINEA_01_R_66600,LINEA_01_R,66600,67967,18:30:00,18:52:47,22
1,BUS1,LINEA_01_A_68400,LINEA_01,68400,69767,19:00:00,19:22:47,22
1,BUS1,LINEA_01_R_70200,LINEA_01_R,70200,71567,19:30:00,19:52:47,22
1,BUS1,LINEA_01_A_72000,LINEA_01,72000,73367,20:00:00,20:22:47,22
1,BUS1,LINEA_01_R_73800,LINEA_01_R,73800,75167,20:30:00,20:52:47,22
1,BUS1,LINEA_01_A_75600,LINEA_01,75600,76967,21:00:00,21:22:47,22
1,BUS1,LINEA_01_R_77400,LINEA_01_R,77400,78767,21:30:00,21:52:47,22
1,BUS1,LINEA_01_A_79200,LINEA_01,79200,80567,22:00:00,22:22:47,22
1,BUS1,LINEA_01_R_81000,LINEA_01_R,81000,82367,22:30:00,22:52:47,22
1,BUS1,LINEA_01_A_82800,LINEA_01,82800,84167,23:00:00,23:22:47,22
1,BUS1,LINEA_01_R_84600,LINEA_01_R,84600,85967,23:30:00,23:52:47,22
2,BUS2,LINEA_01_A_23400,LINEA_01,23400,24767,06:30:00,06:52:47,22
2,BUS2,LINEA_01_R_25200,LINEA_01_R,25200,26567,07:00:00,07:22:47,22
2,BUS2,LINEA_01_A_27000,LINEA_01,27000,28367,07:30:00,07:52:47,22
2,BUS2,LINEA_01_R_28800,LINEA_01_R,28800,30167,08:00:00,08:22:47,22
2,BUS2,LINEA_01_A_30600,LINEA_01,30600,31967,08:30:00,08:52:47,22
2,BUS2,LINEA_01_R_32400,LINEA_01_R,32400,33767,09:00:00,09:22:47,22
2,BUS2,LINEA_01_A_34200,LINEA_01,34200,35567,09:30:00,09:52:47,22
2,BUS2,LINEA_01_R_36000,LINEA_01_R,36000,37367,10:00:00,10:22:47,22
2,BUS2,LINEA_01_A_37800,LINEA_01,37800,39167,10:30:00,10:52:47,22
2,BUS2,LINEA_01_R_39600,LINEA_01_R,39600,40967,11:00:00,11:22:47,22
2,BUS2,LINEA_01_A_41400,LINEA_01,41400,42767,11:30:00,11:52:47,22
2,BUS2,LINEA_01_R_43200,LINEA_01_R,43200,44567,12:00:00,12:22:47,22
2,BUS2,LINEA_01_A_45000,LINEA_01,45000,46367,12:30:00,12:52:47,22
2,BUS2,LINEA_01_R_46800,LINEA_01_R,46800,48167,13:00:00,13:22:47,22
2,BUS2,LINEA_01_A_48600,LINEA_01,48600,49967,13:30:00,13:52:47,22
2,BUS2,LINEA_01_R_50400,LINEA_01_R,50400,51767,14:00:00,14:22:47,22
2,BUS2,LINEA_01_A_52200,LINEA_01,52200,53567,14:30:00,14:52:47,22
2,BUS2,LINEA_01_R_54000,LINEA_01_R,54000,55367,15:00:00,15:22:47,22
2,BUS2,LINEA_01_A_55800,LINEA_01,55800,57167,15:30:00,15:52:47,22
2,BUS2,LINEA_01_R_57600,LINEA_01_R,57600,58967,16:00:00,16:22:47,22
2,BUS2,LINEA_01_A_59400,LINEA_01,59400,60767,16:30:00,16:52:47,22
2,BUS2,LINEA_01_R_61200,LINEA_01_R,61200,62567,17:00:00,17:22:47,22
2,BUS2,LINEA_01_A_63000,LINEA_01,63000,64367,17:30:00,17:52:47,22
2,BUS2,LINEA_01_R_64800,LINEA_01_R,64800,66167,18:00:00,18:22:47,22
2,BUS2,LINEA_01_A_66600,LINEA_01,66600,67967,18:30:00,18:52:47,22
2,BUS2,LINEA_01_R_68400,LINEA_01_R,68400,69767,19:00:00,19:22:47,22
2,BUS2,LINEA_01_A_70200,LINEA_01,70200,71567,19:30:00,19:52:47,22
2,BUS2,LINEA_01_R_72000,LINEA_01_R,72000,73367,20:00:00,20:22:47,22
2,BUS2,LINEA_01_A_73800,LINEA_01,73800,75167,20:30:00,20:52:47,22
2,BUS2,LINEA_01_R_75600,LINEA_01_R,75600,76967,21:00:00,21:22:47,22
2,BUS2,LINEA_01_A_77400,LINEA_01,77400,78767,21:30:00,21:52:47,22
2,BUS2,LINEA_01_R_79200,LINEA_01_R,79200,80567,22:00:00,22:22:47,22
2,BUS2,LINEA_01_A_81000,LINEA_01,81000,82367,22:30:00,22:52:47,22
2,BUS2,LINEA_01_R_82800,LINEA_01_R,82800,84167,23:00:00,23:22:47,22
3,BUS3,LINEA_02_A_21600,LINEA_02,21600,24260,06:00:00,06:44:20,44
3,BUS3,LINEA_02_R_25200,LINEA_02_R,25200,27860,07:00:00,07:44:20,44
3,BUS3,LINEA_02_A_28800,LINEA_02,28800,31460,08:00:00,08:44:20,44
3,BUS3,LINEA_02_R_32400,LINEA_02_R,32400,35060,09:00:00,09:44:20,44
3,BUS3,LINEA_02_A_36000,LINEA_02,36000,38660,10:00:00,10:44:20,44
3,BUS3,LINEA_02_R_39600,LINEA_02_R,39600,42260,11:00:00,11:44:20,44
3,BUS3,LINEA_02_A_43200,LINEA_02,43200,45860,12:00:00,12:44:20,44
3,BUS3,LINEA_02_R_46800,LINEA_02_R,46800,49460,13:00:00,13:44:20,44
3,BUS3,LINEA_02_A_50400,LINEA_02,50400,53060,14:00:00,14:44:20,44
3,BUS3,LINEA_02_R_54000,LINEA_02_R,54000,56660,15:00:00,15:44:20,44
3,BUS3,LINEA_02_A_57600,LINEA_02,57600,60260,16:00:00,16:44:20,44
3,BUS3,LINEA_02_R_61200,LINEA_02_R,61200,63860,17:00:00,17:44:20,44
3,BUS3,LINEA_02_A_64800,LINEA_02,64800,67460,18:00:00,18:44:20,44
3,BUS3,LINEA_02_R_68400,LINEA_02_R,68400,71060,19:00:00,19:44:20,44
3,BUS3,LINEA_02_A_72000,LINEA_02,72000,74660,20:00:00,20:44:20,44
3,BUS3,LINEA_02_R_75600,LINEA_02_R,75600,78260,21:00:00,21:44:20,44
3,BUS3,LINEA_02_A_79200,LINEA_02,79200,81860,22:00:00,22:44:20,44
3,BUS3,LINEA_02_R_82800,LINEA_02_R,82800,85460,23:00:00,23:44:20,44
4,BUS4,LINEA_02_A_23400,LINEA_02,23400,26060,06:30:00,07:14:20,44
4,BUS4,LINEA_02_R_27000,LINEA_02_R,27000,29660,07:30:00,08:14:20,44
4,BUS4,LINEA_02_A_30600,LINEA_02,30600,33260,08:30:00,09:14:20,44
4,BUS4,LINEA_02_R_34200,LINEA_02_R,34200,36860,09:30:00,10:14:20,44
4,BUS4,LINEA_02_A_37800,LINEA_02,37800,40460,10:30:00,11:14:20,44
4,BUS4,LINEA_02_R_41400,LINEA_02_R,41400,44060,11:30:00,12:14:20,44
4,BUS4,LINEA_02_A_45000,LINEA_02,45000,47660,12:30:00,13:14:20,44
4,BUS4,LINEA_02_R_48600,LINEA_02_R,48600,51260,13:30:00,14:14:20,44
4,BUS4,LINEA_02_A_52200,LINEA_02,52200,54860,14:30:00,15:14:20,44
4,BUS4,LINEA_02_R_55800,LINEA_02_R,55800,58460,15:30:00,16:14:20,44
4,BUS4,LINEA_02_A_59400,LINEA_02,59400,62060,16:30:00,17:14:20,44
4,BUS4,LINEA_02_R_63000,LINEA_02_R,63000,65660,17:30:00,18:14:20,44
4,BUS4,LINEA_02_A_66600,LINEA_02,66600,69260,18:30:00,19:14:20,44
4,BUS4,LINEA_02_R_70200,LINEA_02_R,70200,72860,19:30:00,20:14:20,44
4,BUS4,LINEA_02_A_73800,LINEA_02,73800,76460,20:30:00,21:14:20,44
4,BUS4,LINEA_02_R_77400,LINEA_02_R,77400,80060,21:30:00,22:14:20,44
4,BUS4,LINEA_02_A_81000,LINEA_02,81000,83660,22:30:00,23:14:20,44
5,BUS5,LINEA_02_A_25200,LINEA_02,25200,27860,07:00:00,07:44:20,44
5,BUS5,LINEA_02_R_28800,LINEA_02_R,28800,31460,08:00:00,08:44:20,44
5,BUS5,LINEA_02_A_32400,LINEA_02,32400,35060,09:00:00,09:44:20,44
5,BUS5,LINEA_02_R_36000,LINEA_02_R,36000,38660,10:00:00,10:44:20,44
5,BUS5,LINEA_02_A_39600,LINEA_02,39600,42260,11:00:00,11:44:20,44
5,BUS5,LINEA_02_R_43200,LINEA_02_R,43200,45860,12:00:00,12:44:20,44
5,BUS5,LINEA_02_A_46800,LINEA_02,46800,49460,13:00:00,13:44:20,44
5,BUS5,LINEA_02_R_50400,LINEA_02_R,50400,53060,14:00:00,14:44:20,44
5,BUS5,LINEA_02_A_54000,LINEA_02,54000,56660,15:00:00,15:44:20,44
5,BUS5,LINEA_02_R_57600,LINEA_02_R,57600,60260,16:00:00,16:44:20,44
5,BUS5,LINEA_02_A_61200,LINEA_02,61200,63860,17:00:00,17:44:20,44
5,BUS5,LINEA_02_R_64800,LINEA_02_R,64800,67460,18:00:00,18:44:20,44
5,BUS5,LINEA_02_A_68400,LINEA_02,68400,71060,19:00:00,19:44:20,44
5,BUS5,LINEA_02_R_72000,LINEA_02_R,72000,74660,20:00:00,20:44:20,44
5,BUS5,LINEA_02_A_75600,LINEA_02,75600,78260,21:00:00,21:44:20,44
5,BUS5,LINEA_02_R_79200,LINEA_02_R,79200,81860,22:00:00,22:44:20,44
5,BUS5,LINEA_02_A_82800,LINEA_02,82800,85460,23:00:00,23:44:20,44
6,BUS6,LINEA_02_A_27000,LINEA_02,27000,29660,07:30:00,08:14:20,44
6,BUS6,LINEA_02_R_30600,LINEA_02_R,30600,33260,08:30:00,09:14:20,44
6,BUS6,LINEA_02_A_34200,LINEA_02,34200,36860,09:30:00,10:14:20,44
6,BUS6,LINEA_02_R_37800,LINEA_02_R,37800,40460,10:30:00,11:14:20,44
6,BUS6,LINEA_02_A_41400,LINEA_02,41400,44060,11:30:00,12:14:20,44
6,BUS6,LINEA_02_R_45000,LINEA_02_R,45000,47660,12:30:00,13:14:20,44
6,BUS6,LINEA_02_A_48600,LINEA_02,48600,51260,13:30:00,14:14:20,44
6,BUS6,LINEA_02_R_52200,LINEA_02_R,52200,54860,14:30:00,15:14:20,44
6,BUS6,LINEA_02_A_55800,LINEA_02,55800,58460,15:30:00,16:14:20,44
6,BUS6,LINEA_02_R_59400,LINEA_02_R,59400,62060,16:30:00,17:14:20,44
6,BUS6,LINEA_02_A_63000,LINEA_02,63000,65660,17:30:00,18:14:20,44
6,BUS6,LINEA_02_R_66600,LINEA_02_R,66600,69260,18:30:00,19:14:20,44
6,BUS6,LINEA_02_A_70200,LINEA_02,70200,72860,19:30:00,20:14:20,44
6,BUS6,LINEA_02_R_73800,LINEA_02_R,73800,76460,20:30:00,21:14:20,44
6,BUS6,LINEA_02_A_77400,LINEA_02,77400,80060,21:30:00,22:14:20,44
6,BUS6,LINEA_02_R_81000,LINEA_02_R,81000,83660,22:30:00,23:14:20,44
7,BUS7,LINEA_03_A_21600,LINEA_03,21600,24329,06:00:00,06:45:29,45
